question,region,moyenne,nb,min,max
Question 2 a,Curacao,33.6666666666666667,2,33,35
Question 2 a,Andorra,17.1111111111111111,4,16,18
Question 2 a,Argentina,19.3333333333333333,15,16,28
Question 2 a,Australia,23.6857142857142857,19,16,41
Question 2 a,Austria,23.9019607843137255,81,17,38
Question 2 a,Belgium,22.0000000000000000,1,22,22
Question 2 a,Boliva,26.7500000000000000,6,23,32
Question 2 a,Bulgaria,24.0769230769230769,27,18,34
Question 2 a,Canada,23.6296296296296296,112,17,32
Question 2 a,Chile,18.6250000000000000,5,16,22
Question 2 a,China,19.6000000000000000,13,11,24
Question 2 a,Costa Rica,35.0000000000000000,2,31,41
Question 2 a,Cyprus,18.1250000000000000,3,17,20
Question 2 a,Denmark,20.0000000000000000,1,20,20
Question 2 a,Spain,22.6206896551724138,12,19,32
Question 2 a,Fiji,26.0000000000000000,1,26,26
Question 2 a,Finland,25.6630434782608696,53,18,32
Question 2 a,France,24.4782608695652174,68,17,39
Question 2 a,Germany,24.9225806451612903,90,18,33
Question 2 a,UK,23.7263157894736842,48,16,31
Question 2 a,Germany,23.6632653061224490,53,16,39
Question 2 a,Greece,20.6000000000000000,6,16,25
Question 2 a,Guatemala,24.2000000000000000,6,19,41
Question 2 a,Guam,38.0000000000000000,1,38,38
Question 2 a,Hungary,24.1428571428571429,5,19,29
Question 2 a,India,22.6666666666666667,3,21,24
Question 2 a,Iceland,23.6666666666666667,3,20,25
Question 2 a,"Virgin Islands, US",36.4285714285714286,6,14,52
Question 2 a,Italy,24.8190476190476190,58,17,37
Question 2 a,Jamaica,23.8333333333333333,4,23,25
Question 2 a,Japan,23.1769911504424779,48,14,32
Question 2 a,South Korea,20.7142857142857143,22,15,25
Question 2 a,Lebanon,24.1111111111111111,4,21,27
Question 2 a,Liechtenstein,23.1388888888888889,13,18,40
Question 2 a,Luxembourg,24.0000000000000000,1,24,24
Question 2 a,Morocco,19.0000000000000000,3,15,23
Question 2 a,Mexico,26.1904761904761905,11,17,31
Question 2 a,Mongolia,21.0000000000000000,3,20,23
Question 2 a,Monaco,29.0000000000000000,3,29,29
Question 2 a,Netherlands,23.1200000000000000,11,20,27
Question 2 a,Norway,24.4956521739130435,63,20,36
Question 2 a,New Zealand,24.7368421052631579,9,21,41
Question 2 a,Philippines,35.0000000000000000,1,35,35
Question 2 a,Poland,25.9069767441860465,32,19,35
Question 2 a,Portugal,22.7500000000000000,5,18,28
Question 2 a,North Korea,19.3333333333333333,6,12,22
Question 2 a,Puerto Rico,29.4117647058823529,9,17,41
Question 2 a,Romania,21.2800000000000000,11,17,29
Question 2 a,San Marino,21.7500000000000000,5,18,30
Question 2 a,Switzerland,24.9365079365079365,70,19,43
Question 2 a,Sweden,24.2777777777777778,67,17,34
Question 2 a,Czech Republic,23.0840336134453782,59,17,33
Question 2 a,Taiwan,22.5909090909090909,13,18,28
Question 2 a,Turkey,20.4736842105263158,8,17,26
Question 2 a,Russia,24.0328947368421053,101,16,35
Question 2 a,USA,23.9187817258883249,117,17,39
Question 2 a,Serbia,22.9795918367346939,22,17,32
