question,region,annee,nbparticipants
Question 3 b i,France,1992,448
Question 3 b i,France,1994,98
Question 3 b i,France,1996,299
Question 3 b i,France,1998,106
Question 3 b i,France,2000,336
Question 3 b i,France,2002,114
Question 3 b i,France,2004,308
Question 3 b i,France,2006,82
Question 3 b i,France,2008,309
Question 3 b i,France,2010,104
Question 3 b i,France,2012,324
Question 3 b i,France,2014,107
Question 3 b i,France,2016,392
Question 3 b i,Germany,1992,574
Question 3 b i,Germany,1994,112
Question 3 b i,Germany,1996,466
Question 3 b i,Germany,1998,125
Question 3 b i,Germany,2000,422
Question 3 b i,Germany,2002,157
Question 3 b i,Germany,2004,441
Question 3 b i,Germany,2006,155
Question 3 b i,Germany,2008,420
Question 3 b i,Germany,2010,149
Question 3 b i,Germany,2012,383
Question 3 b i,Germany,2014,151
Question 3 b i,Germany,2016,418
Question 3 b i,Japan,1992,315
Question 3 b i,Japan,1994,59
Question 3 b i,Japan,1996,306
Question 3 b i,Japan,1998,156
Question 3 b i,Japan,2000,266
Question 3 b i,Japan,2002,103
Question 3 b i,Japan,2004,306
Question 3 b i,Japan,2006,110
Question 3 b i,Japan,2008,332
Question 3 b i,Japan,2010,91
Question 3 b i,Japan,2012,291
Question 3 b i,Japan,2014,109
Question 3 b i,Japan,2016,335
Question 3 b i,South Korea,1992,249
Question 3 b i,South Korea,1994,21
Question 3 b i,South Korea,1996,303
Question 3 b i,South Korea,1998,37
Question 3 b i,South Korea,2000,281
Question 3 b i,South Korea,2002,46
Question 3 b i,South Korea,2004,264
Question 3 b i,South Korea,2006,40
Question 3 b i,South Korea,2008,265
Question 3 b i,South Korea,2010,45
Question 3 b i,South Korea,2012,250
Question 3 b i,South Korea,2014,71
Question 3 b i,South Korea,2016,207
Question 3 b i,UK,1992,420
Question 3 b i,UK,1994,32
Question 3 b i,UK,1996,300
Question 3 b i,UK,1998,34
Question 3 b i,UK,2000,310
Question 3 b i,UK,2002,49
Question 3 b i,UK,2004,264
Question 3 b i,UK,2006,39
Question 3 b i,UK,2008,304
Question 3 b i,UK,2010,52
Question 3 b i,UK,2012,530
Question 3 b i,UK,2014,53
Question 3 b i,UK,2016,360
