question,region,annee,nbparticipants,,
Question 3 b ii,France,1992,68,1994,10
Question 3 b ii,France,1994,10,1998,15
Question 3 b ii,France,1996,45,2002,14
Question 3 b ii,France,1998,15,2006,13
Question 3 b ii,France,2000,61,2010,11
Question 3 b ii,France,2002,14,2014,16
Question 3 b ii,France,2004,48,1992,68
Question 3 b ii,France,2006,13,1996,45
Question 3 b ii,France,2008,70,2000,61
Question 3 b ii,France,2010,11,2004,48
Question 3 b ii,France,2012,74,2008,70
Question 3 b ii,France,2014,16,2012,74
Question 3 b ii,France,2016,93,2016,93
Question 3 b ii,Germany,1992,205,1994,31
Question 3 b ii,Germany,1994,31,1998,33
Question 3 b ii,Germany,1996,108,2002,47
Question 3 b ii,Germany,1998,33,2006,38
Question 3 b ii,Germany,2000,106,2010,43
Question 3 b ii,Germany,2002,47,2014,28
Question 3 b ii,Germany,2004,139,1992,205
Question 3 b ii,Germany,2006,38,1996,108
Question 3 b ii,Germany,2008,92,2000,106
Question 3 b ii,Germany,2010,43,2004,139
Question 3 b ii,Germany,2012,87,2008,92
Question 3 b ii,Germany,2014,28,2012,87
Question 3 b ii,Germany,2016,150,2016,150
Question 3 b ii,Japan,1992,56,1994,9
Question 3 b ii,Japan,1994,9,1998,9
Question 3 b ii,Japan,1996,42,2002,2
Question 3 b ii,Japan,1998,9,2006,1
Question 3 b ii,Japan,2000,41,2010,7
Question 3 b ii,Japan,2002,2,2014,10
Question 3 b ii,Japan,2004,84,1992,56
Question 3 b ii,Japan,2006,1,1996,42
Question 3 b ii,Japan,2008,48,2000,41
Question 3 b ii,Japan,2010,7,2004,84
Question 3 b ii,Japan,2012,76,2008,48
Question 3 b ii,Japan,2014,10,2012,76
Question 3 b ii,Japan,2016,57,2016,57
Question 3 b ii,South Korea,1992,50,1994,6
Question 3 b ii,South Korea,1994,6,1998,8
Question 3 b ii,South Korea,1996,63,2002,5
Question 3 b ii,South Korea,1998,8,2006,11
Question 3 b ii,South Korea,2000,69,2010,11
Question 3 b ii,South Korea,2002,5,2014,10
Question 3 b ii,South Korea,2004,49,1992,50
Question 3 b ii,South Korea,2006,11,1996,63
Question 3 b ii,South Korea,2008,72,2000,69
Question 3 b ii,South Korea,2010,11,2004,49
Question 3 b ii,South Korea,2012,57,2008,72
Question 3 b ii,South Korea,2014,10,2012,57
Question 3 b ii,South Korea,2016,23,2016,23
Question 3 b ii,UK,1992,47,1994,3
Question 3 b ii,UK,1994,3,1998,4
Question 3 b ii,UK,1996,25,2002,6
Question 3 b ii,UK,1998,4,2006,1
Question 3 b ii,UK,2000,53,2010,1
Question 3 b ii,UK,2002,6,2014,10
Question 3 b ii,UK,2004,51,1992,47
Question 3 b ii,UK,2006,1,1996,25
Question 3 b ii,UK,2008,74,2000,53
Question 3 b ii,UK,2010,1,2004,51
Question 3 b ii,UK,2012,114,2008,74
Question 3 b ii,UK,2014,10,2012,114
Question 3 b ii,UK,2016,130,2016,130
